text@uia1978m	uia1978m	293.26	294.94	ребята смотрят / говорят / действительно очень хорошо / спасибо тебе / Ваня
text@uia1978m	uia1978m	294.97	296.09	что открыл нам этого замечательного молодого художника
text@uia1978m	uia1978m	297.13	300.01	и я говорю / ребята / ну что вы знаете про него ? //
text@uia1978m	uia1978m	300.06	302.52	и Саша Гудков / казалось бы / тихоня
text@uia1978m	uia1978m	302.72	305.42	говорит / у Антона очень много братьев и сестёр //
words@lav1986m	lav1986m	18.07	18.655	пережиток
words@lav1986m	lav1986m	18.655	19.24	прошлого
words@lav1986m	lav1986m	20.48	20.755	я
words@lav1986m	lav1986m	20.755	21.03	так
words@lav1986m	lav1986m	21.03	21.305	не
words@lav1986m	lav1986m	21.305	21.58	считаю
words@lav1986m	lav1986m	27.04	27.435	над
words@lav1986m	lav1986m	27.435	27.83	моей
words@lav1986m	lav1986m	27.83	28.225	верхней
words@lav1986m	lav1986m	28.225	28.62	губой
words@lav1986m	lav1986m	28.62	29.015	появились
words@lav1986m	lav1986m	29.015	29.41	усы...
words@lav1986m	lav1986m	29.41	29.805	/
words@lav1986m	lav1986m	29.805	30.2	как-то
words@lav1986m	lav1986m	30.2	30.595	я
words@lav1986m	lav1986m	30.595	30.99	ездил
words@lav1986m	lav1986m	30.99	31.385	на
words@lav1986m	lav1986m	31.385	31.79	кастинг
words@lav1986m	lav1986m	31.79	32.195	какой-то
words@lav1986m	lav1986m	32.195	32.6	рекламы
words@lav1986m	lav1986m	36.13	36.375	где
words@lav1986m	lav1986m	36.375	36.62	нужны
words@lav1986m	lav1986m	36.62	36.865	были
words@lav1986m	lav1986m	36.865	37.11	бородатые
words@lav1986m	lav1986m	37.11	37.355	/
words@lav1986m	lav1986m	37.355	37.6	как
words@lav1986m	lav1986m	37.6	37.85	оказалось
words@lav1986m	lav1986m	38.5	38.747	и
words@lav1986m	lav1986m	38.747	38.994	мне
words@lav1986m	lav1986m	38.994	39.241	какая-то
words@lav1986m	lav1986m	39.241	39.488	ассистентка
words@lav1986m	lav1986m	39.488	39.735	позвонила
words@lav1986m	lav1986m	39.735	39.982	/
words@lav1986m	lav1986m	39.982	40.23	сказала
words@lav1986m	lav1986m	40.31	40.457	тока
words@lav1986m	lav1986m	40.457	40.604	вы
words@lav1986m	lav1986m	40.604	40.751	побрейтесь
words@lav1986m	lav1986m	40.751	40.898	/
words@lav1986m	lav1986m	40.898	41.045	то
words@lav1986m	lav1986m	41.045	41.192	есть
words@lav1986m	lav1986m	41.192	41.339	это
words@lav1986m	lav1986m	41.339	41.486	был
words@lav1986m	lav1986m	41.486	41.633	уже
words@lav1986m	lav1986m	41.633	41.78	не
words@lav1986m	lav1986m	41.78	41.927	кастинг
words@lav1986m	lav1986m	41.927	42.074	/
words@lav1986m	lav1986m	42.074	42.221	а
words@lav1986m	lav1986m	42.221	42.368	уже
words@lav1986m	lav1986m	42.368	42.52	утверждение
words@lav1986m	lav1986m	42.64	42.98	на
words@lav1986m	lav1986m	42.98	43.32	рекламу
words@lav1986m	lav1986m	43.38	43.574	просто
words@lav1986m	lav1986m	43.574	43.768	то
words@lav1986m	lav1986m	43.768	43.962	ли
words@lav1986m	lav1986m	43.962	44.156	костюм
words@lav1986m	lav1986m	44.156	44.35	/
words@lav1986m	lav1986m	44.35	44.544	то
words@lav1986m	lav1986m	44.544	44.738	ли
words@lav1986m	lav1986m	44.738	44.932	сто-то
words@lav1986m	lav1986m	44.932	45.126	надо
words@lav1986m	lav1986m	45.126	45.32	было
words@lav1986m	lav1986m	45.32	45.52	выбрать
